track_id,track_name,main_artist_name,duration_second
1gmOvyEimctQWci4is82oe,GOURMET RACE,SNOW SMILE,208
1WROWUtdahEPEkdglcO7fx,寒い朝,Snail's House,62
3XUTa2PfXlAuJXWgX3Ws2X,I Like It,Lainy J Groove,317
6jBNUlTbv3fyn5t4izsdMa,Again,YUI,255
1RujvyGPMWFGKAASzXmCpU,Cheap Queen,King Princess,161
4BbZUOXODM11LsM2styGaX,Sweetheart,Snail's House,121
08Thkgk1T0V8oCnQyFfmgd,Aimai na Kuchibiru,Hanako Oku,195
0ibhQJyObOOn2va4LjjpDC,Mantra,BOYO,144
0wBI0iW9HAcLi1d7tMYOsm,main actor,美波,331
494MhamirR5iEN0MnmknmH,Meet the Parents,Kim Petras,132
2U89gVbpMN80FvwECafcuB,lost and found,millennium parade,183
4eWQlBRaTjPPUlzacqEeoQ,Never Be the Same,Camila Cabello,226
4kraaWlwWmQndVBkWQ8eRO,We'll be alright,RADWIMPS,335
38VPKnanXWhNiv0NueMyh9,Melt 10th ANNIVERSARY MIX,ryo (supercell),305
1fdQPPVVm6EBbIL5D9aHHb,HYPE MODE,Reol,211
5uwZ2SFAJ2csvH2VyFoI2n,Ephemeral,ANTENA,261
3Q2xDJ1co8t2UqFw9Rm1Yk,Uma to Shika,Kenshi Yonezu,265
2NjO87HyT80fsgejd3PLYW,Dance To This (feat. Ariana Grande),Troye Sivan,231
3hwQj7u83altcxCt7NVt2s,Story Board,Mone Kamishiraishi,268
3Fj47GNK2kUF0uaEDgXLaD,wish you were gay,Billie Eilish,221
6B8gUB7PhCUDbCO0OiesrB,ノーチラス,ヨルシカ,240
1dGr1c8CrMLDpV6mPbImSI,Lover,Taylor Swift,221
5P8lyudWE7HQxb4ludLbEm,Renai Circulation,MONOGATARI Series,255
1OcBFgeDeGqeP5s4u3bQtJ,Key To Your Heart feat. Matt Cab,Celeina Ann,286
5Qlsugh2ZVlaOgPSHpI8D7,I'm Good,Wafia,217
6h1INlR5bOUOsmTH0cdkEH,Suddenly,Future Generations,215
0NZNtJar3qon6oVIR6XjIA,Same Thing (feat. Superorganism),Gen Hoshino,200
3S3DDZrPOYTirleXRyHnNM,イエスタデイ,Official HIGE DANdism,299
1fBq48F9L4L9PYwLv5SZ5d,空から降ってきた少女,All That Jazz,274
7zqsDgTydxCAvBMqkuEbO7,Butter Sugar Cream (feat. tsvaci),Tomggg,296
5VarZFY00sO54HErJ3TPCI,So Good At Being in Trouble,Unknown Mortal Orchestra,230
21z1GxeHjfD3qkaF5CgCTO,Silhouette,KANA-BOON,240
6V9fHiv84WlVTg7CSnIVY2,Graveyard,Halsey,181
1LTla3bbMwueS9LdCSCvy6,Last Scene,Ikimonogakari,361
7rHqkoLxlzcDrCPa6HpbsF,FREE YOUR MIND,flumpool,278
58dxGXavrcagRqA58fNB0Z,Pretender,Official HIGE DANdism,326
0tw4GLi5c36owjRA26mJf2,Overfly,Luna Haruna,267
2LchlSExS8BEfeORxPGPHf,See You Again (Outro),Snail's House,114
7wfQfnNFGWLD0BzcDngCRg,Money,Leikeli47,175
7yErEjRenGwBvdZrTNIJgv,FAKE/romance,CHIAKI SATO,200
4zdQmfTLWgGd5mAX4MUIaX,Turning Up,ARASHI,182
2iTMff0H6Mu20KQrJyd3Gq,stay gold,Momoiro Clover Z,214
7ursjrnHrsLoFO2uSYFVck,[Covered in White],Snail's House,283
0U9vBvoG3LN1PnuVl47E3W,ビンテージ,Official HIGE DANdism,252
29tzJGvqJPTAFs6LXmsHoA,R U Mine?,Arctic Monkeys,201
3mScGCzxiXA9OaHdBeuk7O,Crossing Field,LiSA,248
0Xcz0Q6uMq66GnXv7630Sm,雪の降る街で、あなたを待っている。,Snail's House,195
4fScMLlVGpFZMm1o30pJvQ,選ばれざる国民,Tokyo Incidents,251
0di0VGHbE3x0fHMX0OU5Ik,Can't Stop - triple j Like A Version,Hilltop Hoods,237
6Xxvdy1m9TX9HTxOzQcfuV,Grigio Girls,Lady Gaga,180
6TxR1dOpGwc83UJKXj546A,Lady (Hear Me Tonight),Modjo,274
79iUF1lDtcBWsxi7V4mkhl,Goodnight,Snail's House,149
4cTm3Ev9bUvy4ChJjB1nhl,Juicy,Doja Cat,199
